,Name,Description,Price,Rating,ReviewCount
0,Apple,Apple iPhone 13 (128GB) - Pink,65999,4.6,7507
1,Apple,Apple iPhone 13 Mini (128GB) - Pink,64900,4.5,1341
2,Apple,Apple iPhone 12 (128GB) - Green,55999,4.5,4941
3,Apple,Apple iPhone 12 (64GB) - Green,48900,4.6,1299
4,Apple,Apple iPhone 13 (128GB) - Green,65999,4.6,7507
5,Apple,Apple iPhone 14 128GB Blue,79900,4.5,130
6,Apple,Apple iPhone 12 (128GB) - Purple,55999,4.5,4941
7,Apple,Apple iPhone 12 (64GB) - (Product) RED,48900,4.5,4941
8,Apple,Apple iPhone 11 (64GB) - White,40999,4.6,55461
9,Apple,Apple iPhone 11 (64GB) - Black,40999,4.6,55461
10,Apple,Apple iPhone 12 (64GB) - Purple,50999,4.5,4941
11,Apple,Apple iPhone 14 Plus 128GB Blue,88400,4.6,72
12,Apple,Apple iPhone 13 Pro (128GB) - Graphite,111900,4.6,1492
13,Apple,Apple iPhone 14 Plus 256GB Blue,99900,4.6,72
14,Apple,Apple iPhone 14 Plus 128GB Midnight,88400,4.6,72
15,Apple,Apple iPhone 12 (128GB) - Black,55999,4.6,3354
16,Apple,Apple iPhone 14 128GB Midnight,79900,4.5,130
17,Apple,Apple iPhone 13 (128GB) - (Product) RED,65900,4.6,4520
18,Apple,Apple iPhone 13 (128GB) - Pink,65999,4.6,7507
19,Apple,Apple iPhone 13 Mini (128GB) - Pink,64900,4.5,1341
20,Apple,Apple iPhone 12 (128GB) - Green,55999,4.5,4941
21,Apple,Apple iPhone 12 (64GB) - Green,48900,4.6,1299
22,Apple,Apple iPhone 13 (128GB) - Green,65999,4.6,7507
23,Apple,Apple iPhone 14 128GB Blue,79900,4.5,130
24,Apple,Apple iPhone 12 (128GB) - Purple,55999,4.5,4941
25,Apple,Apple iPhone 12 (64GB) - (Product) RED,48900,4.5,4941
26,Apple,Apple iPhone 11 (64GB) - White,40999,4.6,55461
27,Apple,Apple iPhone 11 (64GB) - Black,40999,4.6,55461
28,Apple,Apple iPhone 12 (64GB) - Purple,50999,4.5,4941
29,Apple,Apple iPhone 14 Plus 128GB Blue,88400,4.6,72
30,Apple,Apple iPhone 13 Pro (128GB) - Graphite,111900,4.6,1492
31,Apple,Apple iPhone 14 Plus 256GB Blue,99900,4.6,72
32,Apple,Apple iPhone 14 Plus 128GB Midnight,88400,4.6,72
33,Apple,Apple iPhone 12 (128GB) - Black,55999,4.6,3354
34,Apple,Apple iPhone 14 128GB Midnight,79900,4.5,130
35,Apple,Apple iPhone 13 (128GB) - (Product) RED,65900,4.6,4520
36,Apple,Apple iPhone 13 (128GB) - Pink,65999,4.6,7507
37,Apple,Apple iPhone 13 Mini (128GB) - Pink,64900,4.5,1341
38,Apple,Apple iPhone 12 (128GB) - Green,55999,4.5,4941
39,Apple,Apple iPhone 12 (64GB) - Green,48900,4.6,1299
40,Apple,Apple iPhone 13 (128GB) - Green,65999,4.6,7507
41,Apple,Apple iPhone 14 128GB Blue,79900,4.5,130
42,Apple,Apple iPhone 12 (128GB) - Purple,55999,4.5,4941
43,Apple,Apple iPhone 12 (64GB) - (Product) RED,48900,4.5,4941
44,Apple,Apple iPhone 11 (64GB) - White,40999,4.6,55461
